GT Program,Type,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,standard,LearnSy,FAIL,1.2307719581294800,192.02153558307300,5,4,116,616,15.217532467532500,1.1502403846153800,1,[0.005475665908306837]
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,standard,LearnSy,TRUE,1.5460677919909400,196.42216637497800,537,1,116,616,15.217532467532500,1.1502403846153800,10,"[0.4139085419010371, 0.4264727500267327, 0.41462233290076256, 0.4024460830260068, 0.5505823749117553, 0.43904404202476144, 0.4017273331992328, 0.4069247080478817, 0.0276804999448359, 0.017861499916762114]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,standard,LearnSy,FAIL,1.2692555838730200,197.28234250005300,118,4,116,616,15.217532467532500,1.1502403846153800,36,"[0.388041292084381, 0.38101020897738636, 0.38165537500754, 0.3911092081107199, 0.39739779103547335, 0.4122835409361869, 0.39690095791593194, 0.4104933328926563, 0.392029708949849, 0.3927112091332674, 0.22084595798514783, 0.2212425828911364, 0.22108441684395075, 0.2180674159899354, 0.21781416609883308, 0.21535070799291134, 0.2142603329848498, 0.21273133298382163, 0.2109740839805454, 0.21207858412526548, 0.20924279210157692, 0.20799212506972253, 0.09420662513002753, 0.09467262495309114, 0.093633167212829, 0.09322362509556115, 0.011366541963070631, 0.011652957880869508, 0.011696667177602649, 0.011632374953478575, 0.011939374962821603, 0.011949250008910894, 0.009625416016206145, 0.00990858394652605, 0.00981391710229218, 0.2310863749589771]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,standard,LearnSy,TRUE,1.4806624162010800,188.57394216698600,119,1,116,616,15.217532467532500,1.1502403846153800,3,"[1.1516352919861674, 0.520374207990244, 0.521468749968335]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,standard,LearnSy,TRUE,0.9589521251618860,188.03904450009600,18,1,116,616,15.217532467532500,1.1502403846153800,2,"[0.14125325018540025, 0.0597182079218328]"
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,standard,LearnSy,TRUE,0.9594241671729830,193.29613050003500,20,1,116,616,15.217532467532500,1.1502403846153800,1,[0.2872765420470387]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,standard,LearnSy,TRUE,1.2717810419853800,187.3749139169230,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,standard,LearnSy,FAIL,1.0197560000233400,200.7740041250360,528,4,116,616,15.217532467532500,1.1502403846153800,43,"[0.6889108747709543, 0.38365895906463265, 0.3407773331273347, 0.3442924169357866, 0.3400005828589201, 0.34679033304564655, 0.3409396249335259, 0.33654104196466506, 0.33363612508401275, 0.3335493749473244, 0.4841405828483403, 0.330227707978338, 0.33088404196314514, 0.3284141670446843, 0.3274914580397308, 0.3284262919332832, 0.32608216698281467, 0.329735207837075, 0.3299663329962641, 0.33013775013387203, 0.32884200010448694, 0.3271110828500241, 0.3259084578603506, 0.3249919170048088, 0.32381437509320676, 0.32400320796296, 0.32202933286316693, 0.32171399984508753, 0.31930995802395046, 0.31867191614583135, 0.3181130001321435, 0.3164302920922637, 0.31544991582632065, 0.3144703328143805, 0.3143336249049753, 0.3121819170191884, 0.31068975012749434, 0.3106105828192085, 0.30922408285550773, 0.30868716700933874, 0.3065408749971539, 0.3064422910101712, 0.31112725008279085]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,standard,LearnSy,TRUE,1.4287579159718000,190.84027262497700,95,1,116,616,15.217532467532500,1.1502403846153800,3,"[0.359164500143379, 0.4106342080049217, 0.37750329193659127]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,standard,LearnSy,TRUE,0.3456582080107180,28.463592416839700,1209,1,510,1061,2.4373232799246000,1.2250816993464100,2,"[7.293204250046983, 7.591059792088345]"
"Union[IsObject(Cat), EyesOpen]",Search,cats,standard,LearnSy,TRUE,0.3726147080305960,22.469399084104200,275,1,510,1061,2.4373232799246000,1.2250816993464100,1,[5.5950026251375675]
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,standard,LearnSy,FAIL,0.3614987079054120,38.16076041711490,1209,4,510,1061,2.4373232799246000,1.2250816993464100,4,"[8.000295707955956, 5.591037416132167, 5.095577541971579, 5.2805102919228375]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,standard,LearnSy,TRUE,0.44123566686175800,17.48150133388120,1,1,510,1061,2.4373232799246000,1.2250816993464100,0,[]
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,standard,LearnSy,FALSE,1.8066979579161900,36.656237832969100,91,1,338,1525,13.528524590163900,1.1565137130801700,1,[1.2803092908579856]
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,standard,LearnSy,FAIL,1.108566042035820,46.584136333083700,54,4,338,1525,13.528524590163900,1.1565137130801700,12,"[4.527591417077929, 2.0318040831480175, 0.6545818750746548, 0.6342217498458922, 0.6283091669902205, 0.6306861250195652, 0.632892332971096, 0.630459374981001, 0.6322372918948531, 0.6276739169843495, 0.6260892078280449, 0.6250674999319017]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,standard,LearnSy,TRUE,1.2020511659793600,38.89331541699360,3475,1,338,1525,13.528524590163900,1.1565137130801700,1,[4.916637874906883]
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,standard,SampleSy,TRUE,1.6631727500353000,8.23328737169504E-05,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,standard,SampleSy,TRUE,1.4462040830403600,0.5962384170852600,4399,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.5960252911318094]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,standard,SampleSy,FAIL,0.9636620841920380,0.014555625151842800,3,4,336,1351,9.659511472982980,1.1332020997375300,1,[0.014495457988232374]
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,standard,SampleSy,TRUE,1.3489426248706900,6.252516458043830,175,49,336,1351,9.659511472982980,1.1332020997375300,7,"[0.352428208803758, 0.42903479211963713, 0.5009679170325398, 0.7969255829229951, 0.8790470829699188, 1.0837777089327574, 1.1101646658498794]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,standard,SampleSy,TRUE,1.2051454582251600,0.00034395791590213800,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,standard,SampleSy,TRUE,1.1073850418906700,8.34160018712282E-05,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Smile, EyesOpen]",Search ,wedding,standard,SampleSy,TRUE,1.6624349160119900,3.948028750019150,1711,1,336,1351,9.659511472982980,1.1332020997375300,9,"[0.4454893749207258, 0.41668737516738474, 0.41956079192459583, 0.4291587080806494, 0.43446404207497835, 0.44651474989950657, 0.43847199995070696, 0.4496740000322461, 0.4675994999706745]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,standard,SampleSy,TRUE,1.583410207880660,0.00032083410769701000,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,standard,SampleSy,TRUE,2.020308499922980,0.010715042008087000,2,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.010612457990646362]
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,standard,SampleSy,FAIL,1.4457358750514700,1.151360125048090,3743,4,336,1351,9.659511472982980,1.1332020997375300,2,"[0.8404484579805285, 0.310727332951501]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,standard,SampleSy,TRUE,1.2826026659458900,0.3274414171464740,66,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.32736358302645385]
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,standard,SampleSy,FAIL,1.458030791953210,1.8698860411532200,8773,4,336,1351,9.659511472982980,1.1332020997375300,5,"[0.9426121660508215, 0.4344324578996748, 0.34028716711327434, 0.12459245813079178, 0.027828333200886846]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,standard,SampleSy,TRUE,1.5076465420424900,0.00010233395732939200,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,standard,SampleSy,TRUE,1.1586814580950900,2.1260499169584400,6332,1,336,1351,9.659511472982980,1.1332020997375300,4,"[0.6902558750007302, 0.4961272091604769, 0.4715498751029372, 0.4678861249703914]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,standard,SampleSy,TRUE,1.3680170830339200,1.7352451249025800,3500,11,336,1351,9.659511472982980,1.1332020997375300,4,"[0.5925856251269579, 0.4628032499458641, 0.33433695789426565, 0.19443845795467496]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,standard,SampleSy,TRUE,1.5160912920255200,8.40409193187952E-05,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,standard,SampleSy,TRUE,1.2115645830053800,8.17920081317425E-05,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,standard,SampleSy,TRUE,1.5698443748988200,0.31052979198284400,63,1,116,616,15.217532467532500,1.1502403846153800,2,"[0.29968316690064967, 0.010661874897778034]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,standard,SampleSy,TRUE,1.8601607917808000,4.332961417036130,441,3,116,616,15.217532467532500,1.1502403846153800,5,"[0.18566991691477597, 0.27373225009068847, 0.33797320909798145, 3.5167760418262333, 0.011044667102396488]"
Complement(IsObject(Car)),Search,cars,standard,SampleSy,TRUE,1.5182375831063800,0.00016920920461416200,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,standard,SampleSy,TRUE,0.944325250107795,0.0001840831246227030,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,standard,SampleSy,FAIL,1.227842832915490,0.01429612492211160,5,4,116,616,15.217532467532500,1.1502403846153800,1,[0.014186874963343143]
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,standard,SampleSy,FAIL,1.5190814579837000,0.3642253330908720,537,4,116,616,15.217532467532500,1.1502403846153800,2,"[0.18283175001852214, 0.181252249982208]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,standard,SampleSy,TRUE,1.2551410000305600,0.3291777919512240,118,1,116,616,15.217532467532500,1.1502403846153800,4,"[0.13844887493178248, 0.15912395785562694, 0.02023612498305738, 0.011183833936229348]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,standard,SampleSy,TRUE,1.4612814579159000,0.13377670804038600,119,1,116,616,15.217532467532500,1.1502403846153800,2,"[0.13125850004144013, 0.002362458035349846]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,standard,SampleSy,FALSE,0.9524139999412,0.08996058302000170,18,1,116,616,15.217532467532500,1.1502403846153800,2,"[0.051670667016878724, 0.03811475005932152]"
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,standard,SampleSy,TRUE,0.9559498750604690,0.05078225000761450,20,1,116,616,15.217532467532500,1.1502403846153800,1,[0.05061320820823312]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,standard,SampleSy,TRUE,1.2664679170120500,0.00014520902186632200,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,standard,SampleSy,TRUE,1.0171740418300000,2.751423583133150,528,92,116,616,15.217532467532500,1.1502403846153800,8,"[0.16406991705298424, 0.11811145907267928, 0.09953850018791854, 0.14865004201419652, 0.14990595798008144, 0.2599222499411553, 0.6684730409178883, 0.6280978750437498]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,standard,SampleSy,TRUE,1.4410859590861900,0.1277692501898860,95,1,116,616,15.217532467532500,1.1502403846153800,1,[0.12745862500742078]
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,standard,SampleSy,FAIL,0.33489645808003800,0.6818957088980820,1209,4,510,1061,2.4373232799246000,1.2250816993464100,2,"[0.35948512493632734, 0.31910104188136756]"
"Union[IsObject(Cat), EyesOpen]",Search,cats,standard,SampleSy,TRUE,0.3721127500757580,0.36612437502481000,275,1,510,1061,2.4373232799246000,1.2250816993464100,2,"[0.28494116687215865, 0.08107704087160528]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,standard,SampleSy,FAIL,0.32337574986740900,0.6049617908429350,1209,4,510,1061,2.4373232799246000,1.2250816993464100,2,"[0.3318442909512669, 0.27302904101088643]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,standard,SampleSy,TRUE,0.382856999989599,7.50420149415731E-05,1,1,510,1061,2.4373232799246000,1.2250816993464100,0,[]
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,standard,SampleSy,FALSE,1.735575916012750,0.81683991686441,91,1,338,1525,13.528524590163900,1.1565137130801700,3,"[0.33891012496314943, 0.46755908289924264, 0.010207499843090773]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,standard,SampleSy,TRUE,1.1249308751430400,0.6529766251333060,54,17,338,1525,13.528524590163900,1.1565137130801700,3,"[0.22887745802290738, 0.09806429198943079, 0.08934841700829566]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,standard,SampleSy,TRUE,1.2046136248391100,0.5381788751110440,3475,1,338,1525,13.528524590163900,1.1565137130801700,2,"[0.5132668749429286, 0.024674000218510628]"
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,SmartLabel,TRUE,3.766459207981830,12.813685874920300,248,1,336,1348,9.659511472982980,1.1332020997375300,3,"[8.237163875019178, 4.042604082962498, 0.3574159580748528]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,SmartLabel,TRUE,3.637019000016150,14.905082874931400,5245,1,336,1349,9.659511472982980,1.1332020997375300,2,"[7.869602208957076, 6.9102922501042485]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,SmartLabel,TRUE,2.365823958069090,15.865006207954100,3148,1,336,1348,9.659511472982980,1.1332020997375300,4,"[6.908923416864127, 6.301481666974723, 1.7133760410360992, 0.858178999973461]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,SmartLabel,TIMEOUT,2.8306134999729700,600.0143331659490,196,7,336,1330,9.659511472982980,1.1332020997375300,22,"[7.462090041022748, 7.912739500170574, 11.078953084070235, 11.768369542201981, 9.322474207961932, 10.875176624860615, 10.220999041805044, 9.022012790897861, 17.35809354088269, 18.891213790979236, 19.25663166702725, 19.960465042153373, 19.270833250135183, 19.2273722498212, 19.13308791606687, 19.261639041127637, 19.93833345803432, 20.81411795807071, 69.46136537496932, 71.574532084167, 69.4585788748227, 71.1679213331081]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,SmartLabel,TRUE,2.445722416974600,5.605215791147200,28,1,336,1350,9.659511472982980,1.1332020997375300,1,[5.399294749833643]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,SmartLabel,TRUE,2.5447788340970900,0.6676727498415860,2,1,336,1350,9.659511472982980,1.1332020997375300,1,[0.4327991669997573]
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,SmartLabel,TRUE,25.1708302909974,127.9309151249470,3450,1,336,1339,9.659511472982980,1.1332020997375300,13,"[7.525787457823753, 7.840874999994412, 8.839091416914016, 10.928897458128631, 9.880158625077456, 11.15508379181847, 12.577798041980714, 10.375679958146065, 9.738607625011355, 10.071312165819108, 9.667612582910806, 9.051007166039199, 10.161369542125612]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,SmartLabel,TRUE,3.048539999872450,9.722514750203120,327,1,336,1350,9.659511472982980,1.1332020997375300,1,[9.559162124991417]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,SmartLabel,TRUE,4.790788916870950,8.251442916924130,104,1,336,1349,9.659511472982980,1.1332020997375300,2,"[7.763603583909571, 0.32086445786990225]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,SmartLabel,TRUE,4.57007966702804,35.72627508291040,4796,1,336,1344,9.659511472982980,1.1332020997375300,7,"[12.739698541117832, 7.168314417125657, 6.085050417110324, 2.6720503331162035, 2.4009088340681046, 2.394786792108789, 2.151662665884942]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,CCE,SmartLabel,TRUE,3.8862752919085300,17.755505291977900,1061,1,336,1348,9.659511472982980,1.1332020997375300,3,"[8.271997875068337, 9.099037500098348, 0.28699624980799854]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,CCE,SmartLabel,TRUE,6.000291666947310,49.6347480409313,14988,2,336,1346,9.659511472982980,1.1332020997375300,6,"[10.459098291117698, 6.444804332917556, 8.105617250083014, 8.394630250055343, 7.885345207992941, 7.977169082965702]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,CCE,SmartLabel,TRUE,4.186671832809230,0.1797984589356930,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,CCE,SmartLabel,TRUE,3.248925124993550,54.7587008329574,6515,1,336,1345,9.659511472982980,1.1332020997375300,7,"[10.187090250197798, 6.979470333084464, 7.570518458029255, 9.242709500016645, 10.570974667090923, 9.687184541020542, 0.35788216604851186]"
