GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Union[IsObject(Suit), IsObject(Tie), IsObject(Wedding Gown)]",wedding,CCE,SmartLabel,True,14.611714166996535,100.54317729099421,1133,1,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[79.55750445800368, 20.913735540991183]"
"Map(IsObject(Bride), Smile, GetAbove)",wedding,CCE,SmartLabel,True,8.318530832999386,180.87061287500546,598,6,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[108.15806154202437, 71.43266295798821]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",festival,CCE,SmartLabel,True,1.4698824159859214,149.25863412499893,35,1,338,1524,13.528524590163935,1.1565137130801688,1,1,1,[149.17408170801355]
"Map(IsObject(Microphone), IsObject(Face), GetAbove)",festival,CCE,SmartLabel,True,1.2209643329842947,22.490184666996356,6,1,338,1524,13.528524590163935,1.1565137130801688,1,1,1,[22.402122375002364]
"Map(IsObject(Guitar), Map(IsObject(Microphone), IsObject(Face), GetAbove), GetAbove)",festival,CCE,SmartLabel,True,1.3818867910013068,358.6023090420058,521,1,338,1522,13.528524590163935,1.1565137130801688,3,3,3,"[191.4122825420054, 110.58137604201329, 56.493300667003496]"
"Map(IsObject(Microphone), Smile, GetAround)",festival,CCE,SmartLabel,True,1.210050958005013,852.1493804999918,329,31,338,1512,13.528524590163935,1.1565137130801688,13,13,6,"[153.45419533300446, 157.13831920799566, 113.93133608298376, 57.7815392499906, 43.24555008299649, 42.336806500010425, 47.090416207996896, 45.23105033300817, 43.61124437500257, 43.883308124990435, 43.79929450000054, 29.747869084007107, 28.131891707977047]"
"Union[IsObject(Speaker), IsObject(Microphone), IsObject(Guitar)]",festival,CCE,SmartLabel,True,1.9043020840035751,4.75432350000483,2,1,338,1524,13.528524590163935,1.1565137130801688,1,1,1,[4.659958499978529]
"Map(IsObject(Person), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.4705576669948641,137.01435754200793,318,3,116,612,15.217532467532468,1.1502403846153846,4,4,1,"[67.11080450000009, 64.7612812499865, 4.700642208015779, 0.4261122919851914]"
"Map(IsObject(Bicycle), IsObject(Car), GetNotAround)",cars,CCE,SmartLabel,True,0.9698254590039141,143.37696275001508,278,2,116,610,15.217532467532468,1.1502403846153846,6,6,4,"[61.539978374989005, 55.320705667021684, 17.19295916700503, 5.023418958007824, 2.206979125010548, 2.002945957996417]"
"Map(Smile, IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.9937301250174642,118.39215987498756,333,1,116,611,15.217532467532468,1.1502403846153846,5,5,3,"[64.71239808300743, 29.00963420799235, 18.041873916023178, 4.386376416980056, 2.1954484169837087]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.2105319580005016,90.86829116701847,546,1,116,612,15.217532467532468,1.1502403846153846,4,4,3,"[72.97735479200492, 12.060102457995526, 3.86976162501378, 1.907350082998164]"
"Map(IsObject(Car), IsObject(Face), GetContains)",cars,CCE,SmartLabel,True,5.179609542014077,252.7964416250179,829,3,116,607,15.217532467532468,1.1502403846153846,9,9,5,"[81.21417183300946, 74.33598545900895, 60.854593832977116, 6.718168457999127, 7.0979968330066185, 6.753665750002256, 7.2123817919928115, 6.593648459005635, 1.8985065419983584]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Car), IsObject(Face), GetContains))]",cars,CCE,SmartLabel,True,2.033578333008336,114.95806412500679,61,1,116,614,15.217532467532468,1.1502403846153846,2,2,2,"[108.94788804202108, 5.9177367909869645]"
"Union[IsObject(Bicycle), IsObject(Car)]",cars,CCE,SmartLabel,True,1.5057266670046374,95.64627808297519,363,1,116,613,15.217532467532468,1.1502403846153846,3,3,2,"[70.6336074580031, 12.456691708008293, 12.523568457982037]"
"Map(IsObject(Hat), IsObject(Face), GetBelow)",cars,CCE,SmartLabel,True,1.4704537910001818,190.69739545800257,928,1,116,610,15.217532467532468,1.1502403846153846,6,6,6,"[69.57576816598885, 63.515647166990675, 27.646912041003816, 16.884513708006125, 10.988314042013371, 2.0619947079976555]"
