GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,RefineHS Time,Select Question Time,Distinguish Time
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.7748475421685725,10.265614500036463,4201,6,5,"[4.195641165832058, 3.053239833097905, 2.1874859160743654, 0.4114169580861926, 0.16470170789398253]",4.596960585098714,9.182281542103738,0.2597721270285547
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,4.95010054204613,0.8439524169079959,24,10,1,[0.4087640829384327],4.955786083126441,0.402816291898489,0.43517104210332036
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.007575040915981,13.177080374909565,766,59,5,"[3.202006458071992, 2.954436750151217, 2.78647333313711, 1.0888557080179453, 0.826304208021611]",4.285624249372631,10.541699167806655,2.3555870435666293
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,5.718244915828109,11.027146332897246,2406,26,4,"[4.6714841248467565, 3.3600287078879774, 1.2613326660357416, 0.6609112920705229]",6.37202737480402,9.27820475003682,1.0939342079218477
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.31111374986358,19.601087500108406,5917,41,9,"[5.052934041945264, 3.0130561250261962, 2.6550133330747485, 1.2712405000347644, 1.2932756668888032, 1.201474707806483, 1.1978916670195758, 1.1526077908929437, 1.2940293338615447]",4.653963707620278,16.423962749307975,1.8319990017917007
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,4.1040801669005305,15.61964441719465,6273,51,4,"[5.136371834203601, 4.62441054196097, 2.5871003749780357, 1.1188089998904616]",6.266968709183857,11.089119249023497,2.366167748812586
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.069068165961653,4.899251124821603,188,2,4,"[3.9040294168516994, 0.5333358328789473, 0.2547143748961389, 0.12273537483997643]",4.272043498931453,4.610862457891926,0.08465708303265274
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,9.694751500152051,19.51953445910476,5876,94,4,"[4.247587333200499, 8.62757574999705, 1.5274159170221537, 1.407816749997437]",11.477159250061959,14.0240164170973,3.711424541892484
(fold mult 1 (map_imgs pred_int input-list)),,CCE,SmartLabel,True,5.282937333919108,4.0039208750240505,164,31,1,[2.678739875089377],5.314936500741169,2.6454491671174765,1.3259609579108655
(fold max 0 (map_imgs pred_int input-list)),,CCE,SmartLabel,True,8.71539816702716,18.54191366583109,3165,131,3,"[4.7028948329389095, 4.3811137499287724, 3.5140732498839498]",9.97805400006473,11.326636541169137,5.95118537498638
(length (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,7.5845312918536365,2.3570881250780076,118,6,3,"[1.7405366250313818, 0.25165029196068645, 0.13195762503892183]",7.609226500848308,2.0769506241194904,0.25473554199561477
(length (filter (curry le 0) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.0717899999581277,20.151699249865487,5217,115,8,"[4.782109125051647, 3.804697874933481, 1.8505931249819696, 2.2458274168893695, 1.5427072909660637, 1.670498917112127, 1.3670379589311779, 1.3782684169709682]",4.424481292255223,14.686547624412924,4.109900042181835
(fold max 0 (filter (curry ge 5) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.4618288329802454,7.694884208962321,530,29,4,"[3.240685374941677, 1.617311542155221, 1.0782351670786738, 0.573007500031963]",3.626756165875122,6.339160208823159,1.1897892919369042
(fold max 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,37.57106108288281,12.69119366700761,3437,7,5,"[6.836589208105579, 3.305174208013341, 1.5347112088929862, 0.4768271669745445, 0.19805212505161762]",40.22819779091515,9.686252791900188,0.34642333211377263
(fold plus 0 (map (curry mult 6) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,5.613821957958862,5.470266832970083,162,19,3,"[3.745433875126764, 0.51275779097341, 0.4009477919898927]",5.726861125323921,4.542667957022786,0.8138279581908137
(fold plus 0 (filter (curry ge 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.06844437494874,4.697319250088185,240,17,2,"[3.332255250075832, 0.6097492498811334]",3.2312563750892878,3.7778658748138696,0.7559348337817937
(length (filter (curry ge (apply pred_int input-img)) (map (curry plus 4) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,10.07751137507148,14.548661333043128,4428,1,5,"[4.1349027920514345, 7.7657138330396265, 2.4654416248667985, 0.0948673749808222, 0.043895917013287544]",11.770115710329264,12.809250291902572,0.045247999019920826
(length (filter (curry ge (apply pred_int input-img)) (filter (curry le 7) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,8.099625416100025,10.923298916080967,3502,1,3,"[5.120639166794717, 4.038285167189315, 1.7212124580983073]",9.264974290970713,9.712624042062089,0.044347666669636965
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,2.8883033748716116,14.97845470905304,3297,94,3,"[4.001428958028555, 5.784250416094437, 1.4755104170180857]",4.119602833874524,10.023822833085433,3.7220921667758375
(fold plus 0 (map (curry mult (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,2.58103208290413,1.3689458752050996,39,7,2,"[0.8454134999774396, 0.18782150000333786]",2.5919806249439716,1.0204420832451433,0.33715095836669207
(fold max 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,15.677454499993473,33.948162582935765,2221,32,15,"[5.109415417071432, 8.350399332819507, 1.5900775420013815, 1.29192408407107, 1.2392919170670211, 1.076155416900292, 1.1002150001004338, 1.0205534580163658, 1.1468728329055011, 1.3365554171614349, 1.4940534161869437, 1.4919027090072632, 1.7726234998553991, 2.3597855418920517, 2.358641458209604]",17.57604191475548,30.575832670088857,1.4704215824604034
(length (filter (curry ge 4) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,2.682433833135292,7.578544666990638,2181,58,2,"[4.471089957980439, 0.9013008750043809]",3.0169610411394387,5.0365217921789736,2.206744832918048
(fold max 0 (map (curry plus 5) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.5624022919218987,22.650128750130534,832,198,4,"[3.7332252499181777, 3.4915062501095235, 3.5848590000532568, 3.4860033330041915]",4.016165874665603,13.235065917018801,8.959458833094686
(length (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.641178750200197,18.073466749861836,5858,67,4,"[4.557824624935165, 5.952853541821241, 3.1262056671548635, 1.976449458859861]",4.986992875114083,14.234610250219703,2.490285540930927
(length (filter (curry ge 3) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,7.917775291018188,8.253927667159587,639,60,2,"[4.759131416911259, 1.1826044169720262]",8.361077375011519,5.497638833941892,2.31231337483041
(length (filter (curry le (apply pred_int input-img)) (map (curry plus 2) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,10.503455416997895,5.038281749933958,412,1,5,"[4.0215013329871, 0.6505343751050532, 0.1985840001143515, 0.07828325009904802, 0.044765541795641184]",10.683143998961896,4.80970012396574,0.04786683293059468
(length (filter (curry le (apply pred_int input-img)) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,2.940924499882385,3.2083141249604523,149,1,4,"[2.0460171250160784, 0.9394509170670062, 0.11489383387379348, 0.06283004186116159]",2.982750166906044,3.1192693752236664,0.046284957556053996
(fold plus 1 (map (curry max 8) (filter (curry ge 4) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.357283374993131,1.251230041962117,46,1,3,"[1.044751500012353, 0.12360287504270673, 0.041238458128646016]",4.368762499885634,1.1975013751070946,0.04170925007201731
(fold plus 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,4.982507959008217,5.396485208068043,388,7,4,"[3.170598833123222, 1.433894333196804, 0.2115464578382671, 0.19509820803068578]",5.089083626167849,4.899458208587021,0.3896561658475548
(fold mult 1 (map (curry max 1) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,10.798875999869779,6.534182957839221,472,43,2,"[3.6127274581231177, 1.0268149580806494]",10.97591537493281,4.461814624024555,1.8946321259718388
(fold mult 1 (filter (curry ge 2 ) (filter (curry le 4) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,5.128903208998963,5.915308041032404,412,6,3,"[4.041256750002503, 1.1163350830320269, 0.4973967499099672]",5.324236667947844,5.450077041750774,0.2683078332338482
(fold plus 0 (map (curry mult 3) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,12.519586625043303,8.993453542003408,1594,14,4,"[4.98875637515448, 2.5762003329582512, 0.45892050000838935, 0.3564875421579927]",13.642066625179723,7.256221457850188,0.6136186677031219
(length (filter (curry ge 1) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,11.041728708194569,16.830162584083155,4341,94,4,"[4.874355666106567, 5.107667125063017, 1.6192092499695718, 1.6308192079886794]",12.276170751079917,11.983812666265294,3.6100526261143386
(fold plus 0 (filter (curry ge 3) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.6778602078557014,4.9495427089277655,184,21,2,"[3.1997759169898927, 0.7130860418546945]",3.73458895762451,3.853761874837801,1.0381741661112756
(length (filter (curry ge 3) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,5.016252750065178,13.283531374996528,1981,71,3,"[5.9160111248493195, 2.9839956250507385, 1.3722545420750976]",5.696523375110701,9.575081332819536,3.0234074583277106
(fold plus 0 (map (curry plus 2) (map (curry mult (apply pred_int input-img)) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.062688416102901,0.5519431659486145,8,7,1,[0.207867749966681],3.065297125140205,0.20205908408388495,0.34691754216328263
(fold max 0 (filter (curry le 9) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,6.834888875018805,18.932097374927253,4845,131,3,"[6.489781791809946, 3.394957167096436, 3.1610670830123127]",9.054220083868131,10.822763791074976,5.888723958050832
(fold max 0 (filter (curry le (apply pred_int input-img)) (map (curry mult 5) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,12.006891832919791,12.326103625120595,5972,1,6,"[5.933571374975145, 5.763147665886208, 0.3033739998936653, 0.14384774980135262, 0.08154283300973475, 0.05474308296106756]",14.74217024911195,9.531298833200708,0.05729470681399107
